kode_ews,komoditas_rekap,het_hapk,satuan,sumber_het,status_verifikasi,catatan
K2,Bawang Merah (Kualitas Lokal),41500,kg,cakbapok,terverifikasi,"HET CAKBAPOK Jan 2024 (Bawang Merah Grade A); regulasi HAP 32.000"
K3,Bawang Putih (Jenis Kating),,kg,tidak_ada,tanpa_het,"Perbadan 11/2022 & 17/2023 (berlaku Jan 2024) TIDAK mencakup Bawang Putih; HAP bawang putih baru ada di Perbadan 12/2024 (efektif 26 Sep 2024) -> tidak berlaku Jan 2024; basis fluktuasi"
K4,Bawang Putih (Jenis Sinco),,kg,tidak_ada,tanpa_het,"Idem K3: tidak ada HET Bawang Putih periode Jan 2024; basis fluktuasi"
K5,Beras Premium,14900,kg,cakbapok,terverifikasi,"HET CAKBAPOK Jan 2024; regulasi 13.900; data asli 12.800"
K6,Beras IR.64 Medium,12500,kg,cakbapok,terverifikasi,"DUMMY: harga diisi dari K7 (Beras IR.64 Medium Bulog) karena harga asli 0/kosong; HET CAKBAPOK Beras Medium Non Bulog 12.500"
K7,Beras IR.64 Medium Bulog,12500,kg,cakbapok,terverifikasi,"CAKBAPOK Beras Medium Bulog 12.500"
K8,BERAS SPHP,12500,kg,cakbapok,terverifikasi,"DUMMY: tidak ada padanan di dataset; harga diisi dari K7 (SPHP = varian beras medium Bulog); HET dipakai 12.500 (samakan K7)"
K9,Cabe Merah Besar,,kg,tidak_ada,tanpa_het,"Tidak ada HET di 3 sumber; regulasi hanya atur Keriting & Rawit; basis fluktuasi"
K10,Cabe Merah Kriting,55000,kg,regulasi,batas_atas,"Cakbapok kosong; HAP 37.000-55.000, dipakai batas ATAS 55.000"
K11,Cabe Merah Kecil-Rawit,57000,kg,cakbapok,terverifikasi,"CAKBAPOK Cabai Rawit Grade A 57.000 (= batas atas regulasi 40.000-57.000)"
K14,Daging Ayam Broiler,36750,kg,data,terverifikasi,"Cakbapok & regulasi kosong; pakai HET data asli 36.750"
K16,Daging Sapi Grade Atas,140000,kg,cakbapok,terverifikasi,"CAKBAPOK Daging Sapi Grade A 140.000; regulasi 105.000; data asli 120.000-harga"
K17,Daging Sapi Grade Bawah,130000,kg,cakbapok,terverifikasi,"CAKBAPOK Daging Sapi Grade B 130.000; regulasi 80.000"
K24,Gula Pasir Lokal Curah,17500,kg,cakbapok,terverifikasi,"CAKBAPOK Gula Curah 17.500; regulasi 14.500; data asli 13.500"
K26,Ikan Bandeng Segar (Uk. Sedang),,kg,tidak_ada,tanpa_het,"Ikan segar tidak ada HET; basis fluktuasi"
K28,Ikan Lele Segar (Ukuran Sedang),,kg,tidak_ada,tanpa_het,"Ikan segar tidak ada HET; basis fluktuasi"
K29,Ikan Mujair Segar (Uk. Sedang),,kg,tidak_ada,tanpa_het,"Ikan segar tidak ada HET; basis fluktuasi"
K30,Ikan Tongkol Segar (Uk. Sedang),,kg,tidak_ada,tanpa_het,"Ikan segar tidak ada HET; basis fluktuasi"
K34,Minyak Goreng Curah (Bening),15500,kg,cakbapok,terverifikasi,"CAKBAPOK & regulasi & data asli SEMUA 15.500 (cocok)"
K36,Minyak KITA,14000,kg,cakbapok,terverifikasi,"CAKBAPOK Minyakita 14.000 (= data asli)"
K42,Telur Ayam Horn,27000,kg,data,terverifikasi,"Cakbapok & regulasi kosong; pakai HET data asli 27.000"
K43,Tepung Terigu "Segitiga Biru" Curah,,kg,tidak_ada,tanpa_het,"Tidak ada HET resmi; basis fluktuasi"
