kode_ews,komoditas,basis_ews,het_hapk,sumber_het,n_baris,n_diimputasi
K10,Cabe Merah Kriting,HET,55000.0,regulasi,31,0
K11,Cabe Merah Kecil-Rawit,HET,57000.0,cakbapok,31,0
K14,Daging Ayam Broiler,HET,36750.0,data,31,0
K16,Daging Sapi Grade Atas,HET,140000.0,cakbapok,31,0
K17,Daging Sapi Grade Bawah,HET,130000.0,cakbapok,31,0
K2,Bawang Merah (Kualitas Lokal),HET,41500.0,cakbapok,31,0
K24,Gula Pasir Lokal Curah,HET,17500.0,cakbapok,31,0
K26,Ikan Bandeng Segar (Uk. Sedang),fluktuasi,,tidak_ada,31,0
K28,Ikan Lele Segar (Ukuran Sedang),fluktuasi,,tidak_ada,31,0
K29,Ikan Mujair Segar (Uk. Sedang),fluktuasi,,tidak_ada,31,0
K3,Bawang Putih (Jenis Kating),fluktuasi,,tidak_ada,31,0
K30,Ikan Tongkol Segar (Uk. Sedang),fluktuasi,,tidak_ada,31,0
K34,Minyak Goreng Curah (Bening),HET,15500.0,cakbapok,31,0
K36,Minyak KITA,HET,14000.0,cakbapok,31,0
K4,Bawang Putih (Jenis Sinco),fluktuasi,,tidak_ada,31,0
K42,Telur Ayam Horn,HET,27000.0,data,31,0
K43,"Tepung Terigu ""Segitiga Biru"" Curah",fluktuasi,,tidak_ada,31,0
K5,Beras Premium,HET,14900.0,cakbapok,31,0
K6,Beras IR.64 Medium,HET,12500.0,cakbapok,31,0
K7,Beras IR.64 Medium Bulog,HET,12500.0,cakbapok,31,0
K8,BERAS SPHP,HET,12500.0,cakbapok,31,0
K9,Cabe Merah Besar,fluktuasi,,tidak_ada,31,0
