kode_ews,komoditas,punya_het,n_baris,n_harga
K10,Cabe Merah Kriting,False,31,31
K11,Cabe Merah Kecil-Rawit,False,31,31
K14,Daging Ayam Broiler,True,31,31
K16,Daging Sapi Grade Atas,True,31,31
K17,Daging Sapi Grade Bawah,True,31,31
K2,Bawang Merah (Kualitas Lokal),False,31,31
K24,Gula Pasir Lokal Curah,True,31,31
K26,Ikan Bandeng Segar (Uk. Sedang),False,31,31
K28,Ikan Lele Segar (Ukuran Sedang),False,31,31
K29,Ikan Mujair Segar (Uk. Sedang),False,31,31
K3,Bawang Putih (Jenis Kating),False,31,31
K30,Ikan Tongkol Segar (Uk. Sedang),False,31,31
K34,Minyak Goreng Curah (Bening),True,31,31
K36,Minyak KITA,True,31,31
K4,Bawang Putih (Jenis Sinco),False,31,31
K42,Telur Ayam Horn,True,31,31
K43,"Tepung Terigu ""Segitiga Biru"" Curah",False,31,31
K5,Beras Premium,True,31,31
K6,Beras IR.64 Medium,True,31,0
K7,Beras IR.64 Medium Bulog,False,31,31
K9,Cabe Merah Besar,False,31,31
