komoditas,tanggal,kategori,harga_rata,fluktuasi,kode_ews,het_hapk,sumber_het,is_dummy,harga_diimputasi,basis_ews,status_ews
Cabe Merah Kriting,2024-01-01,C A B E,50714.28571,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-02,C A B E,51714.28571,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-03,C A B E,51714.28571,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-04,C A B E,50285.71429,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-05,C A B E,49285.71429,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-06,C A B E,50714.28571,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-07,C A B E,51000.0,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-08,C A B E,54571.42857,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-09,C A B E,53142.85714,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-10,C A B E,54571.42857,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-11,C A B E,54571.42857,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-12,C A B E,54571.42857,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-13,C A B E,54571.42857,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-14,C A B E,54285.71429,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-15,C A B E,53571.42857,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-16,C A B E,54571.42857,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-17,C A B E,53142.85714,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-18,C A B E,50000.0,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-19,C A B E,50000.0,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-20,C A B E,49285.71429,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
Cabe Merah Kriting,2024-01-21,C A B E,49285.71429,-285.7142857,K10,55000.0,regulasi,False,False,HET,Aman
