kode_ews,model,MAE,RMSE,MAPE
K10,MA,1623.9067057142852,1933.1820494700353,3.068211474202376
K10,Holt,5567.17407111941,6056.462377921651,10.812268784405795
K10,ARIMA,4653.06122285714,5038.626309515198,9.033435703398508
K11,MA,629.7376102040814,798.7912569594877,2.0888976071577336
K11,Holt,2468.4778976954403,2672.6647410444584,8.009587709769809
K11,ARIMA,657.974834397574,776.2119966745654,2.145974176379117
K14,MA,387.75510142857246,401.4758276139028,1.2261071028356825
K14,Holt,443.0544798848818,518.7141214559147,1.3972488821196118
K14,ARIMA,81.63265285714286,132.26001469408837,0.25682312613202724
K16,MA,0.0,0.0,0.0
K16,Holt,1.6630760260990687e-11,1.905292944016334e-11,1.3858966884158908e-14
K16,ARIMA,0.0,0.0,0.0
K17,MA,0.0,0.0,0.0
K17,Holt,1.039422516311918e-11,1.2298613069702938e-11,1.0394225163119181e-14
K17,ARIMA,0.0,0.0,0.0
K2,MA,1425.6559771428595,1735.8939435605805,5.525705707295308
K2,Holt,722.9000235991801,895.8620478878983,2.7881471786283925
K2,ARIMA,1000.0000028571428,1265.1415335151528,3.875730091936965
K24,MA,81.63265714285782,88.95712476139488,0.4995333247875081
K24,Holt,39.30994477819591,42.03028040111587,0.24096460519615953
K24,ARIMA,40.81632571428573,53.99492363570542,0.2495321222271561
K26,MA,224.48979428571744,265.3061221978058,0.6132830995277087
K26,Holt,2380.974813092399,2420.7239723965627,6.4924577237672505
K26,ARIMA,836.7346914285694,848.5968504403353,2.2788621195028713
K28,MA,214.28571428571377,214.28571428571377,0.8658008658008637
K28,Holt,3.2168938714374753,3.411511093281983,0.012997550995706972
K28,ARIMA,0.0,0.0,0.0
K29,MA,137.02623653061215,142.8571397959186,0.45001600584165274
K29,Holt,659.3243870878551,700.5076091734392,2.1718234427737304
K29,ARIMA,591.8367328571429,608.4918961636163,1.9485099567232722
K3,MA,163.26530571428572,175.55765931769088,0.45076945732570545
K3,Holt,401.11192990745104,407.5511144200053,1.1070280924117772
K3,ARIMA,573.1051127290017,576.7273202573717,1.581524768072828
K30,MA,0.0,0.0,0.0
K30,Holt,147.28456293584273,164.0799507998528,0.4331898909877728
K30,ARIMA,5.469293682835996e-06,5.469293682835996e-06,1.6086157890694104e-08
K34,MA,91.83673714285734,98.40460163354795,0.6086589318682396
K34,Holt,52.12115498480229,68.78477047545981,0.3444381932791657
K34,ARIMA,30.6122442857143,46.76097554392172,0.20215633022682206
K36,MA,0.0,0.0,0.0
K36,Holt,2.8584119198577744e-12,3.297198298878232e-12,2.0417227998984102e-14
K36,ARIMA,0.0,0.0,0.0
K4,MA,104.95626612245125,122.44897714285928,0.3186652038133396
K4,Holt,183.4163372460628,206.11874611532946,0.5569422007116334
K4,ARIMA,227.1888785846251,245.35611057835305,0.6896572286855184
K42,MA,189.50437408163376,211.10368401826,0.7217897413797086
K42,Holt,172.72041697093871,207.78877730105106,0.6608809258964837
K42,ARIMA,81.63265571428565,132.26001778015527,0.3131139064303218
K43,MA,0.0,0.0,0.0
K43,Holt,2.3387006617018156e-12,2.6627278374195154e-12,2.2273339635255384e-14
K43,ARIMA,0.0,0.0,0.0
K5,MA,0.0,0.0,0.0
K5,Holt,2.3312434880845103,2.5954619535841172,0.016651739200603644
K5,ARIMA,0.0,0.0,0.0
K7,MA,0.0,0.0,0.0
K7,Holt,1.2992781453898975e-12,1.5373266337128672e-12,1.1919982985228417e-14
K7,ARIMA,0.0,0.0,0.0
K9,MA,5448.979591428572,5630.027486170508,8.642751224171501
K9,Holt,3651.517908993984,3817.7088478521982,5.860132341312745
K9,ARIMA,2102.040817142856,2335.553574437343,3.387247274625154
