kode_ews,tanggal,prediksi_harga,model
K16,2024-02-01,120000.0,MA
K16,2024-02-02,120000.0,MA
K16,2024-02-03,120000.0,MA
K16,2024-02-04,120000.0,MA
K16,2024-02-05,120000.0,MA
K16,2024-02-06,120000.0,MA
K16,2024-02-07,120000.0,MA
K17,2024-02-01,100000.0,MA
K17,2024-02-02,100000.0,MA
K17,2024-02-03,100000.0,MA
K17,2024-02-04,100000.0,MA
K17,2024-02-05,100000.0,MA
K17,2024-02-06,100000.0,MA
K17,2024-02-07,100000.0,MA
K30,2024-02-01,34000.0,MA
K30,2024-02-02,34000.0,MA
K30,2024-02-03,34000.0,MA
K30,2024-02-04,34000.0,MA
K30,2024-02-05,34000.0,MA
K30,2024-02-06,34000.0,MA
K30,2024-02-07,34000.0,MA
K28,2024-02-01,24750.0,ARIMA
K28,2024-02-02,24750.0,ARIMA
K28,2024-02-03,24750.0,ARIMA
K28,2024-02-04,24750.0,ARIMA
K28,2024-02-05,24750.0,ARIMA
K28,2024-02-06,24750.0,ARIMA
K28,2024-02-07,24750.0,ARIMA
K36,2024-02-01,14000.0,MA
K36,2024-02-02,14000.0,MA
K36,2024-02-03,14000.0,MA
K36,2024-02-04,14000.0,MA
K36,2024-02-05,14000.0,MA
K36,2024-02-06,14000.0,MA
K36,2024-02-07,14000.0,MA
K7,2024-02-01,10900.0,MA
K7,2024-02-02,10900.0,MA
K7,2024-02-03,10900.0,MA
K7,2024-02-04,10900.0,MA
K7,2024-02-05,10900.0,MA
K7,2024-02-06,10900.0,MA
K7,2024-02-07,10900.0,MA
K5,2024-02-01,14000.0,MA
K5,2024-02-02,14000.0,MA
K5,2024-02-03,14000.0,MA
K5,2024-02-04,14000.0,MA
K5,2024-02-05,14000.0,MA
K5,2024-02-06,14000.0,MA
K5,2024-02-07,14000.0,MA
K43,2024-02-01,10500.0,MA
K43,2024-02-02,10500.0,MA
K43,2024-02-03,10500.0,MA
K43,2024-02-04,10500.0,MA
K43,2024-02-05,10500.0,MA
K43,2024-02-06,10500.0,MA
K43,2024-02-07,10500.0,MA
K34,2024-02-01,15142.86,ARIMA
K34,2024-02-02,15142.86,ARIMA
K34,2024-02-03,15142.86,ARIMA
K34,2024-02-04,15142.86,ARIMA
K34,2024-02-05,15142.86,ARIMA
K34,2024-02-06,15142.86,ARIMA
K34,2024-02-07,15142.86,ARIMA
K24,2024-02-01,16269.58,Holt
K24,2024-02-02,16260.03,Holt
K24,2024-02-03,16252.38,Holt
K24,2024-02-04,16246.27,Holt
K24,2024-02-05,16241.38,Holt
K24,2024-02-06,16237.46,Holt
K24,2024-02-07,16234.33,Holt
K14,2024-02-01,31714.29,ARIMA
K14,2024-02-02,31714.29,ARIMA
K14,2024-02-03,31714.29,ARIMA
K14,2024-02-04,31714.29,ARIMA
K14,2024-02-05,31714.29,ARIMA
K14,2024-02-06,31714.29,ARIMA
K14,2024-02-07,31714.29,ARIMA
K42,2024-02-01,25947.65,ARIMA
K42,2024-02-02,25904.04,ARIMA
K42,2024-02-03,25904.04,ARIMA
K42,2024-02-04,25904.04,ARIMA
K42,2024-02-05,25904.04,ARIMA
K42,2024-02-06,25904.04,ARIMA
K42,2024-02-07,25904.04,ARIMA
K4,2024-02-01,32979.59,MA
K4,2024-02-02,32979.59,MA
K4,2024-02-03,32979.59,MA
K4,2024-02-04,32979.59,MA
K4,2024-02-05,32979.59,MA
K4,2024-02-06,32979.59,MA
K4,2024-02-07,32979.59,MA
K29,2024-02-01,30408.16,MA
K29,2024-02-02,30408.16,MA
K29,2024-02-03,30408.16,MA
K29,2024-02-04,30408.16,MA
K29,2024-02-05,30408.16,MA
K29,2024-02-06,30408.16,MA
K29,2024-02-07,30408.16,MA
K3,2024-02-01,36244.9,MA
K3,2024-02-02,36244.9,MA
K3,2024-02-03,36244.9,MA
K3,2024-02-04,36244.9,MA
K3,2024-02-05,36244.9,MA
K3,2024-02-06,36244.9,MA
K3,2024-02-07,36244.9,MA
K26,2024-02-01,36693.88,MA
K26,2024-02-02,36693.88,MA
K26,2024-02-03,36693.88,MA
K26,2024-02-04,36693.88,MA
K26,2024-02-05,36693.88,MA
K26,2024-02-06,36693.88,MA
K26,2024-02-07,36693.88,MA
K11,2024-02-01,30632.65,MA
K11,2024-02-02,30632.65,MA
K11,2024-02-03,30632.65,MA
K11,2024-02-04,30632.65,MA
K11,2024-02-05,30632.65,MA
K11,2024-02-06,30632.65,MA
K11,2024-02-07,30632.65,MA
K2,2024-02-01,24835.8,Holt
K2,2024-02-02,24539.72,Holt
K2,2024-02-03,24245.12,Holt
K2,2024-02-04,23951.99,Holt
K2,2024-02-05,23660.32,Holt
K2,2024-02-06,23370.12,Holt
K2,2024-02-07,23081.36,Holt
K10,2024-02-01,52346.94,MA
K10,2024-02-02,52346.94,MA
K10,2024-02-03,52346.94,MA
K10,2024-02-04,52346.94,MA
K10,2024-02-05,52346.94,MA
K10,2024-02-06,52346.94,MA
K10,2024-02-07,52346.94,MA
K9,2024-02-01,65428.57,ARIMA
K9,2024-02-02,65428.57,ARIMA
K9,2024-02-03,65428.57,ARIMA
K9,2024-02-04,65428.57,ARIMA
K9,2024-02-05,65428.57,ARIMA
K9,2024-02-06,65428.57,ARIMA
K9,2024-02-07,65428.57,ARIMA
