kode_ews,n,adf_p,stasioner,adf_p_diff,stasioner_setelah_diff,d
K10,31,0.084,Tidak,0.0,Ya,1
K11,31,0.0024,Ya,0.6615,Tidak,0
K14,31,0.4724,Tidak,0.0,Ya,1
K16,31,,Tidak,,Tidak,1
K17,31,,Tidak,,Tidak,1
K2,31,0.9978,Tidak,0.0,Ya,1
K24,31,0.2044,Tidak,0.187,Tidak,1
K26,31,0.5255,Tidak,0.0018,Ya,1
K28,31,0.4964,Tidak,0.036,Ya,1
K29,31,0.2875,Tidak,0.0,Ya,1
K3,31,0.8901,Tidak,0.0,Ya,1
K30,31,0.6113,Tidak,0.0,Ya,1
K34,31,0.3974,Tidak,0.0,Ya,1
K36,31,,Tidak,,Tidak,1
K4,31,0.5095,Tidak,0.0,Ya,1
K42,31,0.4967,Tidak,0.2212,Tidak,1
K43,31,,Tidak,,Tidak,1
K5,31,0.7262,Tidak,0.0,Ya,1
K6,31,,Tidak,,Tidak,1
K7,31,,Tidak,,Tidak,1
K8,31,,Tidak,,Tidak,1
K9,31,0.789,Tidak,0.0,Ya,1
