kode_ews,model,MAE,RMSE,MAPE
K16,MA,0.0,0.0,0.0
K17,MA,0.0,0.0,0.0
K30,MA,0.0,0.0,0.0
K28,ARIMA,0.0,0.0,0.0
K36,MA,0.0,0.0,0.0
K7,MA,0.0,0.0,0.0
K5,MA,0.0,0.0,0.0
K43,MA,0.0,0.0,0.0
K34,ARIMA,30.6122442857143,46.76097554392172,0.20215633022682206
K24,Holt,39.30994477819591,42.03028040111587,0.24096460519615953
K14,ARIMA,81.63265285714286,132.26001469408837,0.25682312613202724
K42,ARIMA,81.63265571428565,132.26001778015527,0.3131139064303218
K4,MA,104.95626612245125,122.44897714285928,0.3186652038133396
K29,MA,137.02623653061215,142.8571397959186,0.45001600584165274
K3,MA,163.26530571428572,175.55765931769088,0.45076945732570545
K26,MA,224.48979428571744,265.3061221978058,0.6132830995277087
K11,MA,629.7376102040814,798.7912569594877,2.0888976071577336
K2,Holt,722.9000235991801,895.8620478878983,2.7881471786283925
K10,MA,1623.9067057142852,1933.1820494700353,3.068211474202376
K9,ARIMA,2102.040817142856,2335.553574437343,3.387247274625154
