kode_ews,komoditas,basis_ews,harga_min,harga_rata,harga_max,harga_std,het,n_harga,rentang,cv,pct_di_atas_het
K11,Cabe Merah Kecil-Rawit,HET,29428.57143,39064.516129354844,64285.71429,10997.144880907405,57000.0,31,34857.14286000001,0.28151237927771605,9.67741935483871
K9,Cabe Merah Besar,fluktuasi,49285.71429,55341.01382419355,66714.28571,5882.601744755913,,31,17428.571419999993,0.10629732522507936,
K2,Bawang Merah (Kualitas Lokal),HET,25142.85714,28576.03686612903,30857.14286,1529.5207876620298,41500.0,31,5714.28572,0.05352459456947862,0.0
K10,Cabe Merah Kriting,HET,49285.71429,52580.645161290326,57000.0,2262.962804637183,55000.0,31,7714.2857099999965,0.04303794291027768,12.903225806451612
K30,Ikan Tongkol Segar (Uk. Sedang),fluktuasi,34000.0,34335.48387096774,36000.0,670.0986927792911,,31,2000.0,0.019516215216232674,
K14,Daging Ayam Broiler,HET,30428.57143,31308.755759354837,32142.85714,596.0148534639916,36750.0,31,1714.28571,0.019036682838662687,0.0
K42,Telur Ayam Horn,HET,25000.0,25684.331797419356,26285.71429,476.5858586736845,27000.0,31,1285.71429,0.01855550934447785,0.0
K29,Ikan Mujair Segar (Uk. Sedang),fluktuasi,29285.71429,30142.85714451613,31000.0,479.51222336218,,31,1714.28571,0.015907988451898218,
K26,Ikan Bandeng Segar (Uk. Sedang),fluktuasi,35857.14286,37244.23963161291,37857.14286,534.7687519357884,,31,2000.0,0.01435842850398474,
K28,Ikan Lele Segar (Ukuran Sedang),fluktuasi,24750.0,25008.064516129034,25250.0,245.66127567362324,,31,500.0,0.009823282226226748,
K3,Bawang Putih (Jenis Kating),fluktuasi,36142.85714,36645.16129161291,37142.85714,337.8019530225861,,31,1000.0,0.009218187098003124,
K24,Gula Pasir Lokal Curah,HET,16000.0,16205.06912419355,16357.14286,127.43136953868915,17500.0,31,357.1428599999999,0.00786367330876974,0.0
K34,Minyak Goreng Curah (Bening),HET,15071.42857,15200.460828387097,15357.14286,96.57283002259858,15500.0,31,285.7142899999999,0.00635328304272505,0.0
K4,Bawang Putih (Jenis Sinco),fluktuasi,32857.14286,33110.59907870968,33428.57143,167.85836902255502,,31,571.4285700000037,0.005069626454765227,
K5,Beras Premium,HET,13985.71429,13993.548389032258,14000.0,7.226846560810947,14900.0,31,14.285710000000108,0.0005164413170912674,0.0
K16,Daging Sapi Grade Atas,HET,120000.0,120000.0,120000.0,0.0,140000.0,31,0.0,0.0,0.0
K17,Daging Sapi Grade Bawah,HET,100000.0,100000.0,100000.0,0.0,130000.0,31,0.0,0.0,0.0
K36,Minyak KITA,HET,14000.0,14000.0,14000.0,0.0,14000.0,31,0.0,0.0,0.0
K43,"Tepung Terigu ""Segitiga Biru"" Curah",fluktuasi,10500.0,10500.0,10500.0,0.0,,31,0.0,0.0,
K6,Beras IR.64 Medium,HET,10900.0,10900.0,10900.0,0.0,12500.0,31,0.0,0.0,0.0
K7,Beras IR.64 Medium Bulog,HET,10900.0,10900.0,10900.0,0.0,12500.0,31,0.0,0.0,0.0
K8,BERAS SPHP,HET,10900.0,10900.0,10900.0,0.0,12500.0,31,0.0,0.0,0.0
