tanggal,kategori,komoditas,satuan,pasar,harga,rata_harian,rata_hitung,selisih_rata
2024-01-01,BERAS,Beras Premium,Kg,Pasar Tambahrejo,14000,13985.71429,13985.714286,0.000004
2024-01-01,BERAS,Beras Premium,Kg,Pasar Pucang Anom,14000,13985.71429,13985.714286,0.000004
2024-01-01,BERAS,Beras Premium,Kg,Pasar Wonokromo,13900,13985.71429,13985.714286,0.000004
2024-01-01,BERAS,Beras Premium,Kg,Pasar Genteng Baru,14000,13985.71429,13985.714286,0.000004
2024-01-01,BERAS,Beras Premium,Kg,Pasar Pabean,14000,13985.71429,13985.714286,0.000004
2024-01-01,BERAS,Beras Premium,Kg,Pasar Kembang,14000,13985.71429,13985.714286,0.000004
2024-01-01,BERAS,Beras Premium,Kg,Pasar Balongsari,14000,13985.71429,13985.714286,0.000004
2024-01-01,BERAS,Beras Medium Bulog,Kg,Pasar Tambahrejo,10900,10900,10900,0
2024-01-01,BERAS,Beras Medium Bulog,Kg,Pasar Pucang Anom,10900,10900,10900,0
2024-01-01,BERAS,Beras Medium Bulog,Kg,Pasar Wonokromo,10900,10900,10900,0
2024-01-01,BERAS,Beras Medium Bulog,Kg,Pasar Genteng Baru,10900,10900,10900,0
2024-01-01,BERAS,Beras Medium Bulog,Kg,Pasar Pabean,10900,10900,10900,0
2024-01-01,BERAS,Beras Medium Bulog,Kg,Pasar Kembang,10900,10900,10900,0
2024-01-01,BERAS,Beras Medium Bulog,Kg,Pasar Balongsari,,10900,10900,0
2024-01-01,BERAS,Beras Medium,Kg,Pasar Tambahrejo,,0,,
2024-01-01,BERAS,Beras Medium,Kg,Pasar Pucang Anom,,0,,
2024-01-01,BERAS,Beras Medium,Kg,Pasar Wonokromo,,0,,
2024-01-01,BERAS,Beras Medium,Kg,Pasar Genteng Baru,,0,,
2024-01-01,BERAS,Beras Medium,Kg,Pasar Pabean,,0,,
2024-01-01,BERAS,Beras Medium,Kg,Pasar Kembang,,0,,
2024-01-01,BERAS,Beras Medium,Kg,Pasar Balongsari,,0,,
2024-01-01,BERAS,Beras Jagung,Kg,Pasar Tambahrejo,,10400,10400,0
2024-01-01,BERAS,Beras Jagung,Kg,Pasar Pucang Anom,10000,10400,10400,0
2024-01-01,BERAS,Beras Jagung,Kg,Pasar Wonokromo,12000,10400,10400,0
2024-01-01,BERAS,Beras Jagung,Kg,Pasar Genteng Baru,10000,10400,10400,0
2024-01-01,BERAS,Beras Jagung,Kg,Pasar Pabean,,10400,10400,0
2024-01-01,BERAS,Beras Jagung,Kg,Pasar Kembang,12000,10400,10400,0
2024-01-01,BERAS,Beras Jagung,Kg,Pasar Balongsari,8000,10400,10400,0
2024-01-01,BERAS,Beras Ketan (Jenis Siyem),Kg,Pasar Tambahrejo,,17800,17800,0
2024-01-01,BERAS,Beras Ketan (Jenis Siyem),Kg,Pasar Pucang Anom,21000,17800,17800,0
2024-01-01,BERAS,Beras Ketan (Jenis Siyem),Kg,Pasar Wonokromo,16000,17800,17800,0
2024-01-01,BERAS,Beras Ketan (Jenis Siyem),Kg,Pasar Genteng Baru,18000,17800,17800,0
2024-01-01,BERAS,Beras Ketan (Jenis Siyem),Kg,Pasar Pabean,,17800,17800,0
2024-01-01,BERAS,Beras Ketan (Jenis Siyem),Kg,Pasar Kembang,17000,17800,17800,0
2024-01-01,BERAS,Beras Ketan (Jenis Siyem),Kg,Pasar Balongsari,17000,17800,17800,0
2024-01-01,GULA,Gula pasir lokal curah,Kg,Pasar Tambahrejo,17000,16357.14286,16357.142857,0.000003
2024-01-01,GULA,Gula pasir lokal curah,Kg,Pasar Pucang Anom,16000,16357.14286,16357.142857,0.000003
2024-01-01,GULA,Gula pasir lokal curah,Kg,Pasar Wonokromo,16000,16357.14286,16357.142857,0.000003
2024-01-01,GULA,Gula pasir lokal curah,Kg,Pasar Genteng Baru,16000,16357.14286,16357.142857,0.000003
2024-01-01,GULA,Gula pasir lokal curah,Kg,Pasar Pabean,17000,16357.14286,16357.142857,0.000003
2024-01-01,GULA,Gula pasir lokal curah,Kg,Pasar Kembang,16000,16357.14286,16357.142857,0.000003
2024-01-01,GULA,Gula pasir lokal curah,Kg,Pasar Balongsari,16500,16357.14286,16357.142857,0.000003
2024-01-01,GULA,Gula Jawa/Merah (Bahan Kelapa),Kg,Pasar Tambahrejo,17000,16142.85714,16142.857143,0.000003
2024-01-01,GULA,Gula Jawa/Merah (Bahan Kelapa),Kg,Pasar Pucang Anom,16000,16142.85714,16142.857143,0.000003
2024-01-01,GULA,Gula Jawa/Merah (Bahan Kelapa),Kg,Pasar Wonokromo,16000,16142.85714,16142.857143,0.000003
2024-01-01,GULA,Gula Jawa/Merah (Bahan Kelapa),Kg,Pasar Genteng Baru,15000,16142.85714,16142.857143,0.000003
2024-01-01,GULA,Gula Jawa/Merah (Bahan Kelapa),Kg,Pasar Pabean,15000,16142.85714,16142.857143,0.000003
2024-01-01,GULA,Gula Jawa/Merah (Bahan Kelapa),Kg,Pasar Kembang,16000,16142.85714,16142.857143,0.000003
2024-01-01,GULA,Gula Jawa/Merah (Bahan Kelapa),Kg,Pasar Balongsari,18000,16142.85714,16142.857143,0.000003
2024-01-01,MINYAK GORENG,Minyak Goreng Curah (Bening),Kg,Pasar Tambahrejo,15500,15214.28571,15214.285714,0.000004
2024-01-01,MINYAK GORENG,Minyak Goreng Curah (Bening),Kg,Pasar Pucang Anom,15000,15214.28571,15214.285714,0.000004
2024-01-01,MINYAK GORENG,Minyak Goreng Curah (Bening),Kg,Pasar Wonokromo,16000,15214.28571,15214.285714,0.000004
2024-01-01,MINYAK GORENG,Minyak Goreng Curah (Bening),Kg,Pasar Genteng Baru,15000,15214.28571,15214.285714,0.000004
2024-01-01,MINYAK GORENG,Minyak Goreng Curah (Bening),Kg,Pasar Pabean,15000,15214.28571,15214.285714,0.000004
2024-01-01,MINYAK GORENG,Minyak Goreng Curah (Bening),Kg,Pasar Kembang,15000,15214.28571,15214.285714,0.000004
2024-01-01,MINYAK GORENG,Minyak Goreng Curah (Bening),Kg,Pasar Balongsari,15000,15214.28571,15214.285714,0.000004
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Tambahrejo,14000,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Pucang Anom,14000,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Wonokromo,14000,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Genteng Baru,14000,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Pabean,,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Kembang,14000,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Balongsari,14000,14000,14000,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Tambahrejo,20000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Pucang Anom,20000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Wonokromo,20000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Genteng Baru,22000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Pabean,,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Kembang,20000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Balongsari,,20400,20400,0
2024-01-01,DAGING,Daging Sapi Grade Atas,Kg,Pasar Tambahrejo,120000,120000,120000,0
